,open,high,low,close,volume,av_pr,diff,candle,7_day_SMA,30_day_SMA,7_day_EMA,30_day_EMA,RSI,12_day_EMA,26_day_EMA,MACD,Signal_Line,20_day_SMA,20_day_STD,Upper_Band,Lower_Band,lag_1,lag_2,lag_3
7,3.0552,3.214,3.0062,3.0572,369470786.0,3.1101,0.0019999999999997,1,3.0919,2.73107,3.070718707052077,2.8170428235278946,64.0545021988321,3.034666910229812,2.859801965038685,0.1748649451911266,0.1968911005017121,2.935805,0.3245200090741311,3.584845018148262,2.286764981851737,3.0552,3.0223,3.108
8,3.0572,3.1363,2.9673,3.0683,254756655.0,3.0518,0.0110999999999998,1,3.0759000000000003,2.764723333333334,3.0701140302890577,2.83325296394545,45.95707782354214,3.0398412317329178,2.8752462639247085,0.1645949678082092,0.1904318739630116,2.97561,0.2852926528837961,3.546195305767593,2.405024694232408,3.0572,3.0552,3.0223
9,3.0683,3.1544,3.0466,3.1276,173143314.0,3.1005000000000003,0.0593000000000003,1,3.0770714285714287,2.7995233333333336,3.0844855227167933,2.8522430953038085,43.32158690462659,3.0533425806970844,2.893939133263619,0.1594034474334655,0.1842261886571024,3.01492,0.2445639698901325,3.504047939780265,2.525792060219735,3.0683,3.0572,3.0552
10,3.1276,3.1333,3.003,3.0361,162235322.0,3.06815,-0.0915000000000003,0,3.0678142857142854,2.8229666666666664,3.072389142037595,2.86410483109066,36.14327453738773,3.050689875974456,2.904469567836684,0.1462203081377717,0.1766250125532363,3.037905,0.2217160072444515,3.481337014488903,2.594472985511097,3.1276,3.0683,3.0572
11,3.0361,3.0727,2.8281,2.8778,173601404.0,2.9504,-0.1582999999999996,0,3.0349285714285714,2.8388133333333334,3.023741856528196,2.8649883903751334,31.512406830833115,3.024091433516847,2.902494044293226,0.1215973892236212,0.1656194878873133,3.056565,0.1875404862254678,3.4316459724509354,2.681484027549065,3.0361,3.1276,3.0683
12,2.8779,2.9559,2.4603,2.58,684089012.0,2.7081,-0.2978999999999998,0,2.971742857142857,2.84299,2.912806392396147,2.846602042608996,31.909811789433466,2.955769674514255,2.8786055965678017,0.0771640779464535,0.1479284058991413,3.0594050000000004,0.1792868782441341,3.4179787564882687,2.700831243511732,2.8778,3.0361,3.1276
13,2.5801,2.7814,1.7711,2.7001,1866758972.0,2.27625,0.1200000000000001,1,2.9210142857142856,2.852323333333333,2.85962979429711,2.837150297924545,30.141148794354024,2.916435878435139,2.8653829597850016,0.0510529186501376,0.1285533084493406,3.061045,0.175623980723772,3.412292961447544,2.709797038552456,2.58,2.8778,3.0361
14,2.7,2.7874,2.4209,2.5274,621552965.0,2.60415,-0.1726000000000001,0,2.8453285714285714,2.85659,2.7765723457228324,2.817166407735865,21.2557808609036,2.8565842048297334,2.8403471849861126,0.0162370198436208,0.1060900507281966,3.03027,0.2109086359939837,3.452087271987968,2.6084527280120327,2.7001,2.58,2.8778
15,2.5275,2.5692,2.3384,2.381,338815093.0,2.4538,-0.1465,0,2.7471428571428573,2.85529,2.677679259292124,2.7890266394948413,18.38962271612749,2.783417404086697,2.8063214675797337,-0.0229040634930361,0.0802912278839501,2.9870650000000003,0.2495504131644083,3.486165826328817,2.4879641736711835,2.5274,2.7001,2.58
16,2.381,2.4699,2.2772,2.325,322896937.0,2.37355,-0.0559999999999996,0,2.632485714285714,2.857083333333333,2.589509444469093,2.759089436946787,18.461171986660304,2.712891649611821,2.77066802553679,-0.0577763759249689,0.0526777071221663,2.938705,0.279254804368982,3.497214608737964,2.380195391262036,2.381,2.5274,2.7001
17,2.3251,2.542,2.2655,2.3968,447487945.0,2.40375,0.0716999999999998,1,2.5411571428571427,2.857873333333333,2.54133208335182,2.7357159248857044,23.1812295269292,2.6642621650561567,2.7429740977192503,-0.0787119326630936,0.0263997791651143,2.89506,0.2926905396489617,3.480441079297924,2.3096789207020763,2.325,2.381,2.5274
18,2.3969,2.4372,2.3506,2.419,154717204.0,2.3939,0.0221,1,2.4756142857142858,2.8627666666666665,2.510749062513865,2.715282639409208,24.054827534267204,2.6265295242782862,2.7189760164067134,-0.0924464921284271,0.002630524906406,2.868075,0.3108313603954137,3.489737720790828,2.2464122792091725,2.3968,2.325,2.381
19,2.419,2.5079,2.3113,2.3928,204205603.0,2.4096,-0.0262000000000002,0,2.4488714285714286,2.86448,2.4812617968853985,2.69447730783442,25.18331625009856,2.5905711359277808,2.694814830006216,-0.104243694078435,-0.0187443188905621,2.83245,0.3228112019513318,3.478072403902664,2.1868275960973365,2.419,2.3968,2.325
20,2.3928,2.4733,2.3235,2.4237,207257933.0,2.3984,0.0309000000000003,1,2.4093857142857145,2.85939,2.466871347664049,2.6770078041031677,25.06515043828477,2.564898653477353,2.674732250005756,-0.1098335965284027,-0.0369621744181302,2.794945,0.3246340943844968,3.4442131887689933,2.1456768112310063,2.3928,2.419,2.3968
21,2.4238,2.529,2.3708,2.4131,248182176.0,2.4499,-0.0106999999999999,0,2.3930571428571428,2.8563400000000003,2.4534285107480365,2.659981494161028,24.739195230998533,2.541545014480837,2.655352083338663,-0.1138070688578256,-0.0523311533060693,2.7565850000000003,0.3220196092018722,3.4006242184037445,2.112545781596256,2.4237,2.3928,2.419
22,2.413,2.4962,2.3323,2.4734,227957636.0,2.41425,0.0604,1,2.4062571428571427,2.85468,2.4584213830610278,2.6479439784087035,27.53568461596558,2.5310611660991698,2.6418741512395023,-0.1108129851403325,-0.064027519672922,2.724285,0.3160553886750334,3.3563957773500666,2.0921742226499327,2.4131,2.4237,2.3928
23,2.4734,2.6061,2.4154,2.5599,212478703.0,2.51075,0.0865,1,2.4398142857142853,2.8511,2.48379103729577,2.6422637217371747,28.99430178346776,2.5354979097762205,2.635801991888428,-0.1003040821122076,-0.0712828321607791,2.697235,0.3050865869759462,3.307408173951893,2.0870618260481075,2.4734,2.4131,2.4237
24,2.56,2.8356,2.53,2.7384,407541122.0,2.6828,0.1783999999999999,1,2.4886142857142857,2.8376166666666665,2.547443277971828,2.6484660622702605,39.65097684766739,2.5667136159644945,2.6434018443411373,-0.0766882283766428,-0.0723639114039518,2.678755,0.2897017658413199,3.25815853168264,2.09935146831736,2.5599,2.4734,2.4131
25,2.7384,2.8335,2.713,2.7619,184181907.0,2.77325,0.0234999999999998,1,2.5376000000000003,2.8215100000000004,2.601057458478871,2.6557843808334693,45.554276946682,2.596742290431495,2.652179485501053,-0.0554371950695578,-0.068978568137073,2.665735,0.279107097488439,3.2239491949768784,2.107520805023122,2.7384,2.5599,2.4734
26,2.7619,2.8054,2.6879,2.7283,132387997.0,2.74665,-0.0335999999999998,0,2.585528571428571,2.8027133333333336,2.632868093859153,2.6604628078764714,57.1346098335418,2.616981938057419,2.657818042130605,-0.0408361040731857,-0.0633500753242956,2.6493899999999995,0.2642768562262727,3.177943712452545,2.120836287547454,2.7619,2.7384,2.5599
27,2.7283,2.7648,2.6075,2.6599,212813356.0,2.68615,-0.0684,0,2.619271428571428,2.782386666666667,2.639626070394365,2.6604264976908927,47.964763061968405,2.623584716817816,2.657972261232041,-0.0343875444142249,-0.0575575691422814,2.629525,0.2463322507573009,3.122189501514602,2.1368604984853983,2.7283,2.7619,2.7384
28,2.6599,2.6699,2.4693,2.5628,227170019.0,2.5696000000000003,-0.0970999999999997,0,2.640657142857143,2.76919,2.6204195527957737,2.6541280139689,51.94078947368422,2.6142332219227677,2.6509224641037417,-0.0366892421809743,-0.05338390375002,2.60425,0.2238495958873887,3.0519491917747774,2.1565508082252225,2.6599,2.7283,2.7619
29,2.5629,2.747,2.5121,2.7378,208222691.0,2.62955,0.1749,1,2.678428571428572,2.75694,2.6497646645968302,2.659526206616068,68.96661705294495,2.6332434954731108,2.657357837133094,-0.0241143416599833,-0.0475299913320127,2.58476,0.1903469640862231,2.9654539281724466,2.2040660718275538,2.5628,2.6599,2.7283
30,2.7378,2.749,2.6671,2.6877,161213675.0,2.70805,-0.0501,0,2.6966857142857146,2.7407366666666664,2.6592484984476226,2.661343870705354,69.4019471488178,2.641621419246478,2.659605404752865,-0.0179839855063863,-0.0416207901668874,2.56734,0.1604643078857817,2.888268615771564,2.246411384228437,2.7378,2.5628,2.6599
31,2.6878,2.716,2.5076,2.5721,257754207.0,2.6118,-0.1157000000000003,0,2.6729285714285718,2.720463333333333,2.637461373835717,2.6555862016275893,58.95758814512008,2.630925816285482,2.6531235229193197,-0.0221977066338374,-0.0377361734602774,2.552055,0.1429375479195823,2.837930095839165,2.2661799041608357,2.6877,2.7378,2.5628
32,2.5722,2.6099,2.5505,2.574,92516664.0,2.5802,0.0017999999999998,1,2.6460857142857144,2.7022833333333334,2.621596030376788,2.650322575716132,58.0880818200793,2.622167998395408,2.647262521221592,-0.0250945228261842,-0.0352078433334588,2.551755,0.1428820952099271,2.837519190419854,2.265990809580145,2.5721,2.6877,2.7378
33,2.574,2.6016,2.5201,2.5763,91506952.0,2.56085,0.0022999999999999,1,2.624371428571429,2.6847966666666663,2.61027202278259,2.64554692566993,59.82018623568448,2.6151113832576525,2.6420060381681405,-0.026894654910488,-0.0335452056488646,2.545565,0.1387387673025506,2.823042534605101,2.2680874653948986,2.574,2.5721,2.6877
34,2.5763,2.609,2.2336,2.2783,351828673.0,2.4213,-0.2979999999999996,0,2.5698571428571424,2.65714,2.527279017086943,2.621853575626709,43.9487264857666,2.56329424737186,2.6150648501556857,-0.0517706027838258,-0.0371902850758569,2.53311,0.1510870327780776,2.835284065556155,2.2309359344438446,2.5763,2.574,2.5721
35,2.2784,2.3663,2.0637,2.3222,763848258.0,2.215,0.0438,1,2.535485714285714,2.6338033333333333,2.4760092628152077,2.6025210868765987,46.31894387300559,2.526202824699266,2.593371157551561,-0.0671683328522947,-0.0431858946311444,2.53017,0.1547308770601044,2.8396317541202087,2.2207082458797904,2.2783,2.5763,2.574
36,2.3222,2.3314,2.1948,2.2827,211470336.0,2.2631,-0.0394999999999998,0,2.4704714285714284,2.608053333333333,2.427681947111405,2.581887468368431,42.145151989455485,2.4887408516686094,2.5703584792144083,-0.0816176275457989,-0.0508722412140753,2.528055,0.1579387705309934,2.843932541061987,2.212177458938013,2.3222,2.2783,2.5763
